Age_Group,Gender,City_Tier,State,Occupation,Monthly_Income,Handcrafted_Frequency,Purchase_Channel,Primary_Factor,Design_Preference,Preferred_Products,Bag_Type,Decor_Preference,Embroidery_Level,Mirror_Work,Color_Family,Purchase_Occasion,Budget_Handbag,Budget_Apparel,Budget_HomeDecor,Discount_Influence,Preferred_Offer,Online_Trust_Buy,Trust_Factor,Authenticity_Score,Limited_Edition_Preference,Purchase_Interest
31-40,Male,Tier 1,Maharashtra,Homemaker,Below 25000,Occasionally,During travel,Authenticity,Fusion,Jackets / shrugs,Sling bag,Table runners,Moderate embroidery,No mirror work,Pastel shades,Weddings,500-1000,Below 1000,Above 3000,No,Free shipping,Yes,Reviews,1,Yes,Very unlikely
41-50,Male,Metro,Telangana,Business Owner,50000-100000,Never,Retail stores,Brand,Fusion,Gift sets,Clutch,Decorative organizers,Minimal embroidery,Strong mirror work,Earth tones,Daily use,500-1000,2000-4000,Below 500,No,Buy 2 Get 1,Depends on reviews,Product images,3,Yes,Unsure
21-30,Female,Tier 1,Telangana,Student,25000-50000,Occasionally,Local exhibitions,Authenticity,Depends on product,"Laptop sleeves / utility pouches, Jackets / shrugs, Gift sets",Office handbag,Wall décor textile,Moderate embroidery,Strong mirror work,Earth tones,Weddings,Above 2000,1000-2000,Below 500,Strongly yes,Flat discount,Depends on reviews,Product images,4,Yes,Unsure
21-30,Female,Metro,Rajasthan,Business Owner,50000-100000,Frequently,Retail stores,Brand,Traditional,Jackets / shrugs,Sling bag,Table runners,Heavy embroidery,No mirror work,Earth tones,Office use,500-1000,1000-2000,Below 500,Strongly yes,Free shipping,Depends on reviews,Brand story,1,Yes,Very unlikely
Above 50,Female,Tier 3 / Rural,West Bengal,Other,50000-100000,Frequently,Local exhibitions,Design,Minimal modern,"Gift sets, Handbags",Tote bag,Wall décor textile,Minimal embroidery,Strong mirror work,Pastel shades,Weddings,Above 2000,Below 1000,1500-3000,Sometimes,Festival combo pack,Depends on reviews,Reviews,1,No,Unlikely
21-30,Male,Metro,Gujarat,Salaried Employee,Below 25000,Frequently,Online marketplaces,Utility,Depends on product,"Laptop sleeves / utility pouches, Jackets / shrugs",Tote bag,Table runners,Moderate embroidery,Strong mirror work,Earth tones,Festive use,Below 500,2000-4000,Below 500,Sometimes,Buy 2 Get 1,Yes,Reviews,4,Yes,Highly likely
31-40,Female,Tier 1,Maharashtra,Other,Above 200000,Occasionally,Instagram stores,Design,Minimal modern,"Jackets / shrugs, Laptop sleeves / utility pouches",Office handbag,Wall décor textile,Moderate embroidery,Strong mirror work,Black / neutral,Weddings,Below 500,Above 4000,Above 3000,Sometimes,Free shipping,Yes,Return policy,5,Yes,Unsure
21-30,Female,Tier 1,Delhi,Other,25000-50000,Never,During travel,Authenticity,Fusion,Jackets / shrugs,Sling bag,Table runners,Minimal embroidery,Light mirror work,Black / neutral,Daily use,1000-2000,Below 1000,1500-3000,No,Festival combo pack,Depends on reviews,Reviews,2,Yes,Likely
41-50,Female,Tier 3 / Rural,Telangana,Salaried Employee,25000-50000,Frequently,During travel,Design,Fusion,"Laptop sleeves / utility pouches, Cushion covers",Tote bag,Table runners,Minimal embroidery,No mirror work,Pastel shades,Gifting,Below 500,2000-4000,500-1500,Strongly yes,Buy 2 Get 1,Yes,Return policy,3,No,Likely
21-30,Male,Tier 3 / Rural,Maharashtra,Business Owner,25000-50000,Occasionally,Instagram stores,Brand,Depends on product,"Gift sets, Jackets / shrugs",Sling bag,Table runners,Minimal embroidery,No mirror work,Bright colors,Weddings,500-1000,Above 4000,500-1500,Strongly yes,Festival combo pack,Yes,Brand story,4,No,Very unlikely
Above 50,Female,Tier 3 / Rural,Rajasthan,Business Owner,50000-100000,Never,Instagram stores,Authenticity,Fusion,"Laptop sleeves / utility pouches, Jackets / shrugs, Handbags",Office handbag,Cushion covers,Heavy embroidery,No mirror work,Bright colors,Gifting,Below 500,2000-4000,Above 3000,No,Festival combo pack,No,Product images,4,No,Likely
41-50,Female,Metro,Maharashtra,Freelancer,Above 200000,Never,Online marketplaces,Authenticity,Minimal modern,Gift sets,Sling bag,Table runners,Heavy embroidery,No mirror work,Bright colors,Festive use,Above 2000,Below 1000,Below 500,Sometimes,Buy 2 Get 1,Yes,Return policy,2,No,Highly likely
21-30,Male,Tier 3 / Rural,Tamil Nadu,Salaried Employee,Below 25000,Rarely,During travel,Design,Fusion,"Handbags, Gift sets",Sling bag,Wall décor textile,Minimal embroidery,No mirror work,Black / neutral,Festive use,Below 500,Below 1000,Below 500,Strongly yes,Buy 2 Get 1,Yes,Brand story,3,Yes,Highly likely
21-30,Male,Tier 1,Delhi,Salaried Employee,25000-50000,Rarely,Local exhibitions,Design,Depends on product,"Gift sets, Cushion covers, Laptop sleeves / utility pouches",Clutch,Cushion covers,Heavy embroidery,No mirror work,Earth tones,Daily use,500-1000,Above 4000,Below 500,Strongly yes,Festival combo pack,Depends on reviews,Reviews,2,No,Highly likely
21-30,Female,Tier 3 / Rural,Rajasthan,Business Owner,100000-200000,Rarely,Instagram stores,Brand,Minimal modern,"Gift sets, Handbags",Clutch,Decorative organizers,Moderate embroidery,Strong mirror work,Black / neutral,Gifting,500-1000,Above 4000,1500-3000,Sometimes,Buy 2 Get 1,Depends on reviews,Brand story,2,Yes,Likely
Below 20,Female,Metro,Delhi,Other,25000-50000,Occasionally,Online marketplaces,Brand,Traditional,Laptop sleeves / utility pouches,Sling bag,Wall décor textile,Heavy embroidery,Strong mirror work,Earth tones,Gifting,Above 2000,1000-2000,Above 3000,No,Free shipping,Depends on reviews,Product images,2,No,Unsure
Above 50,Female,Tier 2,Gujarat,Business Owner,50000-100000,Frequently,Instagram stores,Price,Minimal modern,"Cushion covers, Handbags",Clutch,Cushion covers,Moderate embroidery,Strong mirror work,Earth tones,Gifting,500-1000,2000-4000,Below 500,Strongly yes,Buy 2 Get 1,Yes,Product images,5,Yes,Likely
Above 50,Female,Tier 1,Karnataka,Salaried Employee,Below 25000,Never,Instagram stores,Price,Traditional,"Cushion covers, Laptop sleeves / utility pouches, Jackets / shrugs",Tote bag,Wall décor textile,Heavy embroidery,Strong mirror work,Earth tones,Gifting,Above 2000,1000-2000,Below 500,Sometimes,Buy 2 Get 1,Depends on reviews,Reviews,1,Yes,Likely
41-50,Male,Tier 2,Gujarat,Other,Below 25000,Never,Instagram stores,Utility,Depends on product,"Cushion covers, Jackets / shrugs",Sling bag,Wall décor textile,Heavy embroidery,Light mirror work,Black / neutral,Weddings,Below 500,Above 4000,500-1500,No,Free shipping,No,Reviews,4,Yes,Very unlikely
41-50,Female,Metro,West Bengal,Student,25000-50000,Never,Instagram stores,Price,Fusion,"Jackets / shrugs, Gift sets, Handbags",Clutch,Decorative organizers,Minimal embroidery,Light mirror work,Pastel shades,Office use,1000-2000,Below 1000,500-1500,No,Flat discount,Yes,Reviews,5,Yes,Likely
31-40,Male,Tier 1,Gujarat,Homemaker,50000-100000,Frequently,During travel,Design,Minimal modern,"Laptop sleeves / utility pouches, Gift sets",Tote bag,Decorative organizers,Heavy embroidery,Light mirror work,Bright colors,Gifting,1000-2000,1000-2000,1500-3000,Strongly yes,Buy 2 Get 1,Yes,Product images,2,No,Unlikely
31-40,Female,Tier 1,Gujarat,Freelancer,Below 25000,Never,Local exhibitions,Design,Depends on product,"Cushion covers, Gift sets",Sling bag,Wall décor textile,Heavy embroidery,Strong mirror work,Pastel shades,Gifting,Above 2000,Below 1000,500-1500,Strongly yes,Free shipping,Yes,Reviews,3,No,Unlikely
Below 20,Male,Metro,West Bengal,Freelancer,25000-50000,Rarely,During travel,Design,Traditional,"Handbags, Laptop sleeves / utility pouches",Clutch,Table runners,Minimal embroidery,No mirror work,Earth tones,Office use,500-1000,Above 4000,Below 500,Sometimes,Free shipping,No,Product images,5,Yes,Very unlikely
Below 20,Female,Tier 3 / Rural,Maharashtra,Other,25000-50000,Frequently,Instagram stores,Price,Depends on product,"Handbags, Jackets / shrugs, Gift sets",Clutch,Table runners,Heavy embroidery,No mirror work,Earth tones,Gifting,1000-2000,Below 1000,Above 3000,No,Free shipping,No,Brand story,3,No,Unsure
31-40,Female,Tier 2,Gujarat,Salaried Employee,,Occasionally,Retail stores,Design,Depends on product,"Handbags, Jackets / shrugs, Cushion covers",Sling bag,Wall décor textile,Minimal embroidery,Light mirror work,Earth tones,Gifting,Above 2000,Above 4000,500-1500,No,Free shipping,Yes,Brand story,5,No,Likely
21-30,Female,Tier 1,Delhi,Student,50000-100000,Rarely,Retail stores,Utility,Minimal modern,Cushion covers,Tote bag,Table runners,Minimal embroidery,No mirror work,Earth tones,Office use,Above 2000,Above 4000,Above 3000,Sometimes,Festival combo pack,Yes,Reviews,4,No,Unsure
Below 20,Female,Tier 2,Gujarat,Freelancer,25000-50000,Occasionally,Online marketplaces,Authenticity,Traditional,Handbags,Sling bag,Table runners,Minimal embroidery,Strong mirror work,Pastel shades,Festive use,1000-2000,2000-4000,Below 500,Strongly yes,Free shipping,Depends on reviews,Return policy,4,No,Highly likely
Below 20,Female,Tier 1,Delhi,Other,50000-100000,Occasionally,During travel,Design,Depends on product,"Handbags, Gift sets, Laptop sleeves / utility pouches",Tote bag,Table runners,Heavy embroidery,No mirror work,Black / neutral,Weddings,1000-2000,2000-4000,Below 500,Sometimes,Festival combo pack,No,Return policy,3,No,Very unlikely
41-50,Female,Tier 1,Maharashtra,Homemaker,25000-50000,Occasionally,During travel,Brand,Depends on product,"Cushion covers, Jackets / shrugs, Gift sets",Sling bag,Table runners,Minimal embroidery,No mirror work,Earth tones,Festive use,Below 500,Below 1000,500-1500,No,Festival combo pack,Depends on reviews,Return policy,4,Yes,Unlikely
21-30,Male,Tier 1,Maharashtra,Homemaker,Below 25000,Rarely,Retail stores,Brand,Minimal modern,"Handbags, Laptop sleeves / utility pouches, Jackets / shrugs",Office handbag,Wall décor textile,Minimal embroidery,No mirror work,Earth tones,Office use,1000-2000,1000-2000,500-1500,Sometimes,Festival combo pack,No,Reviews,3,No,Likely
Above 50,Male,Tier 3 / Rural,West Bengal,Homemaker,Below 25000,Rarely,Local exhibitions,Design,Minimal modern,"Cushion covers, Laptop sleeves / utility pouches, Handbags",Clutch,Table runners,Heavy embroidery,Light mirror work,Earth tones,Gifting,Below 500,Below 1000,500-1500,No,Free shipping,No,Product images,3,Yes,Unsure
Above 50,Male,Tier 1,Karnataka,Salaried Employee,Above 200000,Frequently,Instagram stores,Design,Depends on product,"Laptop sleeves / utility pouches, Jackets / shrugs, Handbags",Sling bag,Decorative organizers,Minimal embroidery,Strong mirror work,Earth tones,Gifting,Below 500,2000-4000,Above 3000,Strongly yes,Buy 2 Get 1,Yes,Reviews,1,No,Likely
31-40,Male,Tier 2,Gujarat,Other,100000-200000,Occasionally,Online marketplaces,Authenticity,Depends on product,"Jackets / shrugs, Handbags",Office handbag,Decorative organizers,Minimal embroidery,No mirror work,Earth tones,Daily use,500-1000,1000-2000,Above 3000,Sometimes,Flat discount,Depends on reviews,Product images,2,No,Unlikely
Below 20,Male,Tier 1,Tamil Nadu,Other,Above 200000,Frequently,Online marketplaces,Utility,Traditional,Jackets / shrugs,Tote bag,Table runners,Moderate embroidery,No mirror work,,Office use,Below 500,Above 4000,Below 500,No,Buy 2 Get 1,No,Reviews,1,Yes,Unsure
41-50,Male,Metro,Karnataka,Student,50000-100000,Occasionally,Retail stores,Brand,Fusion,"Gift sets, Jackets / shrugs",Tote bag,Table runners,Minimal embroidery,Strong mirror work,Black / neutral,Gifting,1000-2000,Above 4000,Above 3000,No,Buy 2 Get 1,Yes,Brand story,1,No,Unlikely
31-40,Female,Tier 2,Rajasthan,Business Owner,25000-50000,Occasionally,Instagram stores,Price,Traditional,"Cushion covers, Laptop sleeves / utility pouches",Office handbag,Cushion covers,Heavy embroidery,Light mirror work,Bright colors,Office use,500-1000,Above 4000,Above 3000,No,Festival combo pack,Depends on reviews,Product images,1,No,Very unlikely
Above 50,Female,Tier 3 / Rural,Rajasthan,Other,50000-100000,Frequently,During travel,Brand,Traditional,"Jackets / shrugs, Handbags, Cushion covers",Sling bag,Cushion covers,Heavy embroidery,No mirror work,Bright colors,Gifting,1000-2000,2000-4000,1500-3000,No,Buy 2 Get 1,Depends on reviews,Return policy,5,Yes,Highly likely
21-30,Female,Tier 3 / Rural,Karnataka,Homemaker,50000-100000,Frequently,Online marketplaces,Design,Depends on product,"Handbags, Cushion covers",Sling bag,Cushion covers,Heavy embroidery,No mirror work,Pastel shades,Office use,500-1000,Above 4000,Above 3000,Strongly yes,Free shipping,Depends on reviews,Product images,5,Yes,Unlikely
21-30,Female,Tier 3 / Rural,Tamil Nadu,Student,Below 25000,Rarely,Instagram stores,Utility,Depends on product,Handbags,Office handbag,Wall décor textile,Minimal embroidery,Light mirror work,Pastel shades,Daily use,500-1000,Below 1000,500-1500,Strongly yes,Free shipping,No,Return policy,4,No,Unlikely
21-30,Male,Tier 3 / Rural,Gujarat,Homemaker,50000-100000,Never,During travel,Price,Fusion,"Handbags, Jackets / shrugs, Cushion covers",Sling bag,Decorative organizers,Minimal embroidery,No mirror work,Pastel shades,Office use,500-1000,1000-2000,1500-3000,Sometimes,Free shipping,Yes,Brand story,3,No,Likely
21-30,Prefer not to say,Metro,West Bengal,Other,Below 25000,Frequently,Local exhibitions,Authenticity,Fusion,"Jackets / shrugs, Gift sets",Clutch,Table runners,Minimal embroidery,Light mirror work,Bright colors,Weddings,1000-2000,2000-4000,500-1500,No,Flat discount,Depends on reviews,Brand story,2,Yes,Unlikely
31-40,Female,Tier 2,Maharashtra,Homemaker,Above 200000,Frequently,Retail stores,Brand,Depends on product,"Laptop sleeves / utility pouches, Gift sets, Handbags",Office handbag,Wall décor textile,Minimal embroidery,Light mirror work,Black / neutral,Festive use,Above 2000,Above 4000,1500-3000,No,Free shipping,Yes,Reviews,4,Yes,Highly likely
Below 20,Female,Metro,Gujarat,Homemaker,Below 25000,Rarely,Instagram stores,Price,Traditional,"Gift sets, Laptop sleeves / utility pouches",Clutch,Cushion covers,Minimal embroidery,No mirror work,Black / neutral,Weddings,Above 2000,Below 1000,Below 500,No,Festival combo pack,No,Reviews,1,No,Highly likely
31-40,Female,Tier 3 / Rural,West Bengal,Freelancer,25000-50000,Rarely,Online marketplaces,Authenticity,Fusion,"Gift sets, Cushion covers, Handbags",Tote bag,Decorative organizers,Minimal embroidery,Strong mirror work,Bright colors,Daily use,Below 500,Above 4000,Above 3000,No,Festival combo pack,No,Product images,5,Yes,Unsure
31-40,Male,Metro,Maharashtra,Student,50000-100000,Occasionally,Local exhibitions,Brand,Minimal modern,"Handbags, Laptop sleeves / utility pouches, Gift sets",Tote bag,Cushion covers,Heavy embroidery,Strong mirror work,Black / neutral,Daily use,Below 500,Below 1000,1500-3000,Strongly yes,Festival combo pack,No,Return policy,2,No,Unlikely
Below 20,Female,Tier 3 / Rural,Karnataka,Homemaker,50000-100000,Occasionally,Online marketplaces,Authenticity,Traditional,"Jackets / shrugs, Cushion covers, Handbags",Tote bag,Cushion covers,Moderate embroidery,Strong mirror work,Bright colors,Festive use,1000-2000,1000-2000,Below 500,Sometimes,Free shipping,Yes,Reviews,5,Yes,Likely
41-50,Female,Tier 3 / Rural,Tamil Nadu,Student,Above 200000,Occasionally,Retail stores,Brand,Depends on product,"Laptop sleeves / utility pouches, Cushion covers, Gift sets",Clutch,Table runners,Moderate embroidery,Light mirror work,Pastel shades,Daily use,1000-2000,Below 1000,Below 500,Strongly yes,Buy 2 Get 1,Yes,Brand story,1,No,Likely
31-40,Female,Tier 2,Karnataka,Other,50000-100000,Never,Retail stores,Utility,Depends on product,Cushion covers,Tote bag,Wall décor textile,Minimal embroidery,Strong mirror work,Bright colors,Festive use,500-1000,1000-2000,1500-3000,Sometimes,Free shipping,Depends on reviews,Brand story,3,No,Unlikely
Above 50,Female,Tier 1,Maharashtra,Other,Below 25000,Never,Online marketplaces,Brand,Minimal modern,"Gift sets, Handbags",Sling bag,Table runners,Minimal embroidery,Light mirror work,Bright colors,Weddings,500-1000,Above 4000,500-1500,Sometimes,Festival combo pack,No,Return policy,3,No,Likely
Below 20,Male,Metro,Maharashtra,Student,Above 200000,Frequently,Instagram stores,Utility,Fusion,"Handbags, Cushion covers",Clutch,Decorative organizers,Minimal embroidery,No mirror work,Earth tones,Office use,Above 2000,Above 4000,500-1500,Sometimes,Festival combo pack,Yes,Return policy,2,Yes,Highly likely
21-30,Female,Tier 3 / Rural,Maharashtra,Homemaker,25000-50000,Rarely,Instagram stores,Design,Traditional,"Laptop sleeves / utility pouches, Jackets / shrugs, Gift sets",Sling bag,Cushion covers,Heavy embroidery,No mirror work,Bright colors,Weddings,1000-2000,Above 4000,500-1500,Sometimes,Flat discount,No,Return policy,1,No,Unlikely
Above 50,Female,Tier 3 / Rural,Telangana,Freelancer,Above 200000,Never,Instagram stores,Design,Depends on product,"Cushion covers, Laptop sleeves / utility pouches",Clutch,Wall décor textile,Heavy embroidery,Strong mirror work,Bright colors,Festive use,500-1000,2000-4000,500-1500,Strongly yes,Festival combo pack,Depends on reviews,Product images,2,Yes,Unlikely
41-50,Male,Tier 1,Rajasthan,Salaried Employee,25000-50000,Rarely,Online marketplaces,Brand,Fusion,"Laptop sleeves / utility pouches, Jackets / shrugs",Clutch,Wall décor textile,Minimal embroidery,Strong mirror work,Pastel shades,Festive use,500-1000,Below 1000,Below 500,Strongly yes,Free shipping,Yes,Brand story,4,No,Unlikely
41-50,Female,Tier 3 / Rural,West Bengal,Salaried Employee,100000-200000,Occasionally,Local exhibitions,Price,Fusion,"Cushion covers, Jackets / shrugs, Handbags",Tote bag,Wall décor textile,Minimal embroidery,Light mirror work,Bright colors,Office use,Below 500,Above 4000,500-1500,Sometimes,Buy 2 Get 1,Yes,Reviews,1,No,Unsure
41-50,Female,Tier 2,Karnataka,Salaried Employee,100000-200000,Frequently,Retail stores,Brand,Traditional,Laptop sleeves / utility pouches,Sling bag,Decorative organizers,Heavy embroidery,Light mirror work,Earth tones,Daily use,Above 2000,2000-4000,Below 500,No,Flat discount,No,Reviews,2,Yes,Unsure
31-40,Female,Metro,Maharashtra,Other,Below 25000,Rarely,Retail stores,Price,Minimal modern,Laptop sleeves / utility pouches,Tote bag,Cushion covers,Heavy embroidery,No mirror work,Black / neutral,Office use,1000-2000,1000-2000,Below 500,Sometimes,Flat discount,No,Return policy,4,No,Unlikely
21-30,Female,Metro,Tamil Nadu,Homemaker,100000-200000,Never,Local exhibitions,Design,Traditional,Jackets / shrugs,Sling bag,Cushion covers,Minimal embroidery,Strong mirror work,Bright colors,Weddings,Above 2000,Below 1000,Above 3000,Sometimes,Festival combo pack,Yes,Return policy,4,No,Very unlikely
21-30,Female,Tier 1,West Bengal,Homemaker,Below 25000,Frequently,Online marketplaces,Brand,Depends on product,"Cushion covers, Gift sets, Jackets / shrugs",Office handbag,Cushion covers,Minimal embroidery,Strong mirror work,Bright colors,Festive use,Below 500,1000-2000,1500-3000,Sometimes,Free shipping,Depends on reviews,Reviews,3,No,Unlikely
Below 20,Female,Metro,Gujarat,Business Owner,25000-50000,Frequently,Online marketplaces,Authenticity,Depends on product,Jackets / shrugs,Office handbag,Table runners,Moderate embroidery,Strong mirror work,Earth tones,Daily use,500-1000,2000-4000,Above 3000,Sometimes,Buy 2 Get 1,Depends on reviews,Return policy,2,No,Highly likely
21-30,Female,Metro,Gujarat,Salaried Employee,Above 200000,Rarely,During travel,Utility,Depends on product,"Laptop sleeves / utility pouches, Handbags",Sling bag,Wall décor textile,Minimal embroidery,Strong mirror work,Earth tones,Weddings,Above 2000,Below 1000,500-1500,Strongly yes,Buy 2 Get 1,No,Return policy,2,No,Very unlikely
31-40,Male,Tier 2,Tamil Nadu,Freelancer,Above 200000,Occasionally,Retail stores,Design,Minimal modern,"Cushion covers, Laptop sleeves / utility pouches, Gift sets",Tote bag,Table runners,Minimal embroidery,Strong mirror work,Earth tones,Daily use,Above 2000,2000-4000,Above 3000,No,Buy 2 Get 1,No,Reviews,3,Yes,Highly likely
Below 20,Female,Tier 2,Gujarat,Student,25000-50000,Occasionally,Online marketplaces,Utility,Traditional,"Cushion covers, Laptop sleeves / utility pouches, Jackets / shrugs",Office handbag,Table runners,Moderate embroidery,No mirror work,Bright colors,Festive use,500-1000,Above 4000,500-1500,Sometimes,Free shipping,Yes,Reviews,1,Yes,Highly likely
41-50,Female,Tier 1,Telangana,Business Owner,100000-200000,Frequently,Online marketplaces,Authenticity,Fusion,"Cushion covers, Laptop sleeves / utility pouches, Jackets / shrugs",Sling bag,Decorative organizers,Minimal embroidery,Light mirror work,Pastel shades,Daily use,500-1000,2000-4000,500-1500,Sometimes,Buy 2 Get 1,No,Return policy,1,Yes,Unlikely
41-50,Male,Tier 2,Delhi,Homemaker,Below 25000,Never,Online marketplaces,Authenticity,Traditional,"Jackets / shrugs, Cushion covers",Clutch,Decorative organizers,Minimal embroidery,Strong mirror work,Earth tones,Gifting,Above 2000,Above 4000,Above 3000,No,Free shipping,No,Brand story,4,No,Highly likely
Above 50,Male,Tier 3 / Rural,Tamil Nadu,Business Owner,Above 200000,Frequently,Online marketplaces,Utility,Depends on product,Handbags,Sling bag,Cushion covers,Minimal embroidery,Light mirror work,Earth tones,Gifting,Below 500,Below 1000,Below 500,Sometimes,Free shipping,Yes,Return policy,2,No,Highly likely
21-30,Male,Tier 1,Gujarat,Homemaker,Below 25000,Frequently,During travel,Authenticity,Minimal modern,"Gift sets, Cushion covers",Office handbag,Wall décor textile,Heavy embroidery,Light mirror work,Black / neutral,Gifting,Below 500,Below 1000,1500-3000,Sometimes,Festival combo pack,Yes,Brand story,1,No,Very unlikely
21-30,Female,Tier 1,Telangana,Other,Below 25000,Frequently,Retail stores,Design,Fusion,"Laptop sleeves / utility pouches, Gift sets",Clutch,Table runners,Heavy embroidery,Light mirror work,Black / neutral,Daily use,1000-2000,1000-2000,500-1500,Strongly yes,Free shipping,Yes,Return policy,1,No,Likely
Above 50,Female,Metro,Rajasthan,Other,Above 200000,Never,During travel,Price,Fusion,"Gift sets, Handbags, Jackets / shrugs",Sling bag,Wall décor textile,Moderate embroidery,Strong mirror work,Earth tones,Daily use,1000-2000,Below 1000,1500-3000,No,Flat discount,Yes,Brand story,3,Yes,Unsure
31-40,Male,Tier 2,Tamil Nadu,Other,100000-200000,Frequently,Local exhibitions,Price,Fusion,Laptop sleeves / utility pouches,Clutch,Cushion covers,Heavy embroidery,Strong mirror work,Black / neutral,Gifting,1000-2000,Above 4000,Above 3000,Strongly yes,Buy 2 Get 1,Yes,Return policy,3,Yes,Unsure
Above 50,Female,Tier 3 / Rural,West Bengal,Homemaker,Below 25000,Never,Retail stores,Authenticity,Depends on product,Jackets / shrugs,Tote bag,Decorative organizers,Minimal embroidery,Light mirror work,Pastel shades,Weddings,Above 2000,Below 1000,1500-3000,Strongly yes,Free shipping,Yes,Reviews,3,No,Highly likely
21-30,Male,Metro,Delhi,Homemaker,Below 25000,Occasionally,Online marketplaces,Price,Traditional,"Cushion covers, Jackets / shrugs, Laptop sleeves / utility pouches",Clutch,Wall décor textile,Heavy embroidery,Light mirror work,Pastel shades,Festive use,Above 2000,Below 1000,500-1500,Sometimes,Buy 2 Get 1,Yes,Return policy,2,Yes,Very unlikely
21-30,Female,Tier 3 / Rural,West Bengal,Freelancer,50000-100000,Never,Instagram stores,Design,Minimal modern,"Laptop sleeves / utility pouches, Cushion covers",Office handbag,Wall décor textile,Moderate embroidery,No mirror work,Bright colors,Festive use,Below 500,Below 1000,Above 3000,No,Free shipping,Yes,Reviews,2,Yes,Highly likely
41-50,Female,Tier 3 / Rural,Maharashtra,Homemaker,50000-100000,Never,During travel,Authenticity,Minimal modern,"Laptop sleeves / utility pouches, Gift sets",Tote bag,Decorative organizers,Heavy embroidery,Strong mirror work,Earth tones,Weddings,500-1000,2000-4000,Below 500,Sometimes,Flat discount,No,Brand story,1,No,Highly likely
Above 50,Prefer not to say,Tier 2,Maharashtra,Other,100000-200000,Rarely,Instagram stores,Price,Fusion,"Laptop sleeves / utility pouches, Handbags",Clutch,Wall décor textile,Moderate embroidery,No mirror work,Earth tones,Office use,Above 2000,Below 1000,Above 3000,No,Flat discount,Depends on reviews,Return policy,5,No,Highly likely
Above 50,Female,Tier 3 / Rural,West Bengal,Business Owner,25000-50000,Occasionally,Online marketplaces,Price,Traditional,"Laptop sleeves / utility pouches, Handbags",Sling bag,Table runners,Moderate embroidery,Light mirror work,Earth tones,Festive use,1000-2000,Below 1000,Below 500,Strongly yes,Festival combo pack,Depends on reviews,Reviews,5,No,Unlikely
Below 20,Female,Tier 2,Tamil Nadu,Salaried Employee,Below 25000,Rarely,During travel,Brand,Traditional,"Cushion covers, Gift sets, Jackets / shrugs",Sling bag,Table runners,Minimal embroidery,Light mirror work,Earth tones,Gifting,500-1000,2000-4000,500-1500,Strongly yes,Flat discount,No,Return policy,2,No,Unlikely
31-40,Male,Tier 2,Gujarat,Business Owner,100000-200000,Occasionally,During travel,Brand,Minimal modern,"Laptop sleeves / utility pouches, Cushion covers, Gift sets",Clutch,Decorative organizers,Moderate embroidery,Strong mirror work,Black / neutral,Festive use,Above 2000,Above 4000,500-1500,Strongly yes,Flat discount,Yes,Reviews,3,Yes,Unsure
Below 20,Male,Tier 2,Maharashtra,Student,Below 25000,Frequently,Instagram stores,Authenticity,Minimal modern,Laptop sleeves / utility pouches,Office handbag,Wall décor textile,Minimal embroidery,No mirror work,Black / neutral,Daily use,Below 500,2000-4000,1500-3000,Sometimes,Buy 2 Get 1,Depends on reviews,Product images,2,Yes,Unsure
Below 20,Male,Tier 1,Gujarat,Business Owner,100000-200000,Occasionally,Instagram stores,Price,Minimal modern,Cushion covers,Tote bag,Cushion covers,Heavy embroidery,No mirror work,Earth tones,Daily use,1000-2000,1000-2000,Below 500,No,Free shipping,Yes,Return policy,4,No,Very unlikely
21-30,Female,Tier 1,Rajasthan,Salaried Employee,50000-100000,Never,Online marketplaces,Brand,Minimal modern,"Gift sets, Cushion covers",Office handbag,Cushion covers,Minimal embroidery,Light mirror work,Earth tones,Festive use,Below 500,2000-4000,500-1500,Sometimes,Free shipping,Depends on reviews,Product images,2,No,Likely
31-40,Female,Tier 2,Maharashtra,Student,100000-200000,Frequently,Online marketplaces,Price,Minimal modern,"Handbags, Laptop sleeves / utility pouches",Tote bag,Decorative organizers,Minimal embroidery,Light mirror work,Black / neutral,Office use,Below 500,Below 1000,1500-3000,No,Buy 2 Get 1,Yes,Return policy,5,No,Unsure
Above 50,Female,Tier 1,Tamil Nadu,Other,25000-50000,Frequently,Instagram stores,Utility,Depends on product,"Handbags, Jackets / shrugs",Tote bag,Table runners,Heavy embroidery,Strong mirror work,Bright colors,Daily use,1000-2000,Below 1000,500-1500,Strongly yes,Buy 2 Get 1,Yes,Brand story,4,Yes,Likely
Below 20,Female,Metro,Rajasthan,Student,Below 25000,Never,During travel,Price,Traditional,Gift sets,Clutch,Cushion covers,Minimal embroidery,No mirror work,Bright colors,Festive use,500-1000,Below 1000,Above 3000,Strongly yes,Free shipping,No,Product images,5,Yes,Unlikely
41-50,Male,Tier 2,Delhi,Student,25000-50000,Never,Online marketplaces,Design,Traditional,"Laptop sleeves / utility pouches, Gift sets",Clutch,Wall décor textile,Moderate embroidery,Strong mirror work,Black / neutral,Festive use,Below 500,Above 4000,Above 3000,Strongly yes,Buy 2 Get 1,Yes,Return policy,1,No,Unlikely
